STATE_ID,ATTACK_LL,ATTACK_LR,ATTACK_RL,ATTACK_RR,SWAP_L2R,SWAP_L1R,SWAP_R1L,SWAP_R2L
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,-1.3835591215666239,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,-1.3828430966124245,0.0,0.0,1.383446859780134,0.0
18,0.0,0.0,0.0,-1.3774294396518858,0.0,0.0,1.3814185301969502,0.0
19,0.0,0.0,0.0,1.3686919944542615,0.0,0.0,1.3791637123088167,1.3803511908883928
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,1.3819180888015932,0.0,-1.3837422501459247,0.0,1.3820312741018175,0.0,0.0
22,0.0,-1.3836656470384636,0.0,0.0,0.0,-1.4300019569753855,1.380627461088784,0.0
23,0.0,-1.3799136130024858,0.0,1.3502354286328206,0.0,0.0,1.370779756458723,0.0
